iter	Passed	Remaining
185	2755	3170
186	2770	3155
187	2784	3139
188	2796	3122
189	2815	3112
190	2830	3097
191	2845	3082
192	2859	3066
193	2872	3050
194	2887	3035
195	2903	3021
196	2917	3006
197	2933	2992
198	2949	2978
199	2964	2964
200	2977	2948
201	2993	2934
202	3009	2920
203	3024	2905
204	3039	2891
205	3055	2877
206	3070	2862
207	3087	2850
208	3103	2835
209	3117	2820
210	3181	2849
211	3209	2845
212	3226	2832
213	3241	2817
214	3256	2801
215	3270	2785
216	3287	2772
217	3301	2755
218	3315	2739
219	3330	2724
220	3344	2709
221	3362	2695
222	3378	2681
223	3396	2668
224	3411	2653
225	3424	2636
226	3438	2620
227	3452	2604
228	3466	2588
229	3481	2573
230	3495	2556
231	3509	2541
232	3523	2525
233	3537	2509
234	3553	2495
235	3570	2481
236	3585	2465
237	3598	2449
238	3612	2433
239	3625	2417
240	3642	2403
241	3657	2387
242	3673	2373
243	3685	2356
244	3698	2339
245	3710	2322
246	3724	2307
247	3738	2291
248	3752	2275
249	3766	2259
250	3780	2244
251	3793	2228
252	3807	2212
253	3821	2196
254	3837	2182
255	3852	2167
256	3869	2153
257	3885	2138
258	3899	2123
259	3914	2107
260	3928	2092
261	3940	2075
262	3954	2059
263	3967	2044
264	3980	2027
265	3996	2013
266	4009	1997
267	4022	1981
268	4035	1965
269	4048	1949
270	4061	1933
271	4074	1917
272	4087	1901
273	4099	1885
274	4112	1869
275	4124	1853
276	4140	1838
277	4154	1823
278	4167	1807
279	4181	1792
280	4194	1776
281	4205	1759
282	4219	1744
283	4232	1728
284	4244	1712
285	4256	1696
286	4272	1682
287	4285	1666
288	4298	1650
289	4311	1635
290	4323	1619
291	4337	1604
292	4351	1589
293	4365	1574
294	4379	1558
295	4392	1543
296	4405	1527
297	4418	1512
298	4430	1496
299	4444	1481
300	4455	1465
301	4470	1450
302	4483	1435
303	4497	1420
304	4511	1405
305	4527	1390
306	4540	1375
307	4554	1360
308	4566	1344
309	4583	1330
310	4597	1315
311	4609	1300
312	4621	1284
313	4634	1269
314	4646	1253
315	4659	1238
316	4672	1223
317	4686	1208
318	4700	1193
319	4714	1178
320	4726	1163
321	4741	1148
322	4755	1133
323	4769	1118
324	4781	1103
325	4793	1088
326	4806	1072
327	4818	1057
328	4831	1042
329	4845	1027
330	4859	1013
331	4872	997
332	4885	982
333	4901	968
334	4914	953
335	4927	938
336	4942	924
337	4955	909
338	4969	894
339	4984	879
340	4997	864
341	5009	849
342	5025	835
343	5038	820
344	5054	805
345	5068	790
346	5080	776
347	5093	761
348	5106	746
349	5119	731
350	5134	716
351	5147	701
352	5160	687
353	5173	672
354	5185	657
355	5199	642
356	5214	628
357	5226	613
358	5239	598
359	5253	583
360	5268	569
361	5285	554
362	5299	540
363	5312	525
364	5326	510
365	5338	495
366	5351	481
367	5366	466
368	5378	451
369	5391	437
370	5404	422
371	5421	408
372	5434	393
373	5446	378
374	5460	364
375	5473	349
376	5486	334
377	5499	320
378	5513	305
379	5528	290
380	5541	276
381	5555	261
382	5568	247
383	5581	232
384	5593	217
385	5606	203
386	5619	188
387	5633	174
388	5646	159
389	5662	145
390	5674	130
391	5686	116
392	5702	101
393	5715	87
394	5728	72
395	5742	58
396	5756	43
397	5769	28
398	5782	14
399	5795	0
